aX,aY,aZ,gX,gY,gZ
0.985,-1.178,-0.315,-63.560,-54.670,281.190
0.942,-1.119,-0.299,-76.580,-58.310,291.830
0.876,-1.061,-0.256,-89.600,-62.300,299.460
0.828,-1.010,-0.213,-102.130,-65.940,305.480
0.760,-0.945,-0.164,-114.170,-68.810,311.010
0.700,-0.752,-0.113,-128.520,-71.890,314.720
0.632,-0.823,-0.088,-137.270,-74.340,315.140
0.563,-0.792,-0.067,-144.340,-76.090,314.370
0.513,-0.738,-0.042,-150.430,-76.020,312.690
0.458,-0.696,-0.057,-154.000,-74.130,310.170
0.434,-0.672,-0.084,-155.330,-71.260,307.370
0.436,-0.650,-0.116,-157.080,-69.230,306.250
0.434,-0.621,-0.173,-158.900,-67.060,305.690
0.393,-0.516,-0.213,-155.400,-63.140,305.830
0.357,-0.500,-0.224,-157.710,-59.010,304.010
0.357,-0.559,-0.253,-165.340,-57.820,300.790
0.391,-0.556,-0.254,-175.770,-62.020,297.500
0.378,-0.454,-0.218,-179.760,-66.290,293.510
0.351,-0.399,-0.244,-183.960,-69.580,287.980
0.316,-0.384,-0.286,-184.100,-75.740,281.820
0.315,-0.302,-0.290,-186.970,-79.590,274.750
0.291,-0.250,-0.304,-190.610,-77.910,270.900
0.236,-0.173,-0.303,-185.080,-82.740,270.480
0.168,-0.129,-0.305,-179.060,-88.550,270.060
0.142,-0.116,-0.310,-179.690,-88.480,266.210
0.139,-0.080,-0.295,-174.440,-96.390,264.670
0.100,-0.018,-0.313,-163.730,-92.750,262.710
0.061,-0.013,-0.298,-152.460,-99.470,254.310
0.000,0.061,-0.309,-140.630,-96.600,252.630
0.024,0.058,-0.319,-129.430,-99.400,253.260
-0.008,0.080,-0.329,-117.390,-96.950,246.470
-0.078,0.160,-0.336,-103.600,-91.910,239.330
-0.083,0.214,-0.341,-87.430,-90.720,227.500
-0.082,0.264,-0.371,-83.090,-89.040,223.160
-0.133,0.311,-0.432,-77.840,-85.120,218.750
-0.173,0.423,-0.456,-73.640,-80.570,211.750
-0.172,0.460,-0.487,-69.930,-78.680,202.720
-0.175,0.495,-0.515,-67.340,-78.750,193.550
-0.213,0.557,-0.520,-65.520,-79.590,179.130
-0.237,0.633,-0.524,-63.910,-80.570,167.160
-0.262,0.708,-0.527,-60.620,-80.780,157.850
-0.304,0.765,-0.527,-57.330,-78.470,147.490
-0.336,0.805,-0.515,-56.280,-77.770,135.800
-0.374,0.834,-0.522,-53.130,-75.810,124.250
-0.418,0.907,-0.525,-45.010,-72.170,112.630
-0.454,0.960,-0.514,-38.710,-66.920,98.210
-0.507,0.975,-0.508,-30.590,-60.340,89.250
-0.538,0.947,-0.497,-28.350,-55.720,77.840
-0.537,0.917,-0.507,-26.880,-53.270,68.530
-0.550,0.896,-0.529,-23.660,-49.840,59.780
-0.583,0.903,-0.552,-19.810,-45.360,53.340
-0.638,0.913,-0.381,-31.570,-40.320,53.480
-0.584,0.864,-0.713,-15.470,-32.480,39.830
-0.552,0.761,-0.547,-27.160,-30.170,26.670
